,GD,LNC,TXT,TAP,DDS,C,CI,CVX,ECL,FMC,GPC,HAL,HAS,HD,JPM,KMB,LHX,LLY,LOW,MMM,CLX,IP,NWL,BAX,PCAR,VFC,WHR,AON,PG,HSY,Date
1990-01-31,5.078,13.6875,5.375,9.25,21.7083,20.1725,5.4861,16.75,3.1563,4.4151,16.9444,10.0066,5.5185,1.735,8.5417,15.5186,5.6487,15.7813,0.8516,18.795,9.688,23.5707,11.625,5.7371,3.285,3.7503,30.5,11.0,8.0,7.9688,1990-01-31
1990-02-28,4.688,13.25,5.7813,9.1875,21.8333,20.7516,5.6528,16.7813,3.0625,4.2402,17.0,10.6618,5.5926,1.963,8.5417,14.8119,5.8767,15.0938,0.8164,19.276,9.594,23.3373,11.375,6.0089,3.6715,3.6032,31.75,11.0741,8.0,7.25,1990-02-28
1990-03-30,4.688,13.875,5.6563,9.0625,24.4583,21.2342,5.625,16.875,3.0,4.284,16.7778,10.8107,5.7037,2.259,7.8333,15.2241,6.7632,16.1563,1.0273,19.577,9.938,23.5707,12.3125,5.8579,3.854,3.662,30.625,11.1111,8.4688,7.9375,1990-03-30
1990-04-30,4.344,13.125,6.0,11.5625,23.9167,22.1994,5.1111,16.4688,2.7188,3.7302,17.5556,10.1853,5.1481,2.309,7.7917,15.2241,6.2566,16.4375,1.0781,19.096,9.531,23.1623,13.0,5.0426,3.3709,3.5591,28.125,10.3333,8.8281,8.0625,1990-04-30
1990-05-31,4.438,13.6875,6.125,12.8125,30.625,25.1915,5.7778,17.5,3.1094,4.3277,18.3889,11.7637,6.2963,2.988,9.125,16.667,7.0925,19.5625,1.4766,19.878,10.625,24.5042,14.625,5.6767,3.5641,3.5444,29.75,11.6296,10.3281,8.75,1990-05-31
1990-06-29,4.016,13.8438,5.9375,13.1875,29.3333,26.3497,5.5694,17.5938,3.2813,3.8468,17.6667,11.4659,5.4444,2.846,8.5,16.8732,6.9659,20.7813,1.5195,20.81,10.531,23.7457,16.0,5.7975,3.6071,3.0738,28.125,11.1111,10.8906,9.4063,1990-06-29
1990-07-31,3.344,13.375,5.6875,12.25,28.5,24.9019,5.2222,19.8438,3.375,4.386,16.3333,13.0741,5.1111,2.537,7.6667,18.1394,6.206,20.8125,0.9336,21.742,10.969,26.3128,14.9375,6.19,3.4997,2.8973,27.125,10.8519,10.8438,9.6563,1990-07-31
1990-08-31,3.109,11.5313,5.0313,12.375,26.5417,21.5237,4.6944,18.9688,2.75,4.0945,15.9444,12.6274,4.2963,2.509,7.2083,17.4327,4.8635,18.7813,0.7539,18.945,9.375,22.2288,13.0,5.7069,2.6624,2.3237,23.125,10.3704,9.625,9.5,1990-08-31
1990-09-28,2.953,11.125,5.125,12.0625,26.125,15.8291,4.1944,18.5,2.3281,3.4534,15.7778,12.2402,3.5926,2.25,5.1667,16.0781,3.6983,17.875,0.6172,18.554,8.469,20.3034,9.4375,5.8277,2.6194,1.8237,20.125,9.1111,9.1094,9.0313,1990-09-28
1990-10-31,2.984,7.8438,5.5938,12.25,24.4167,13.9953,3.7639,17.0938,2.5469,3.1328,15.6667,10.6618,3.8519,2.176,3.375,17.7271,3.0397,16.8438,0.6016,19.005,8.188,21.7037,10.3125,6.1296,2.4262,1.7501,18.25,9.3333,9.8281,8.625,1990-10-31
1990-11-30,2.922,10.3125,6.0625,9.25,29.2083,17.4699,4.4167,17.4688,2.6563,3.4825,16.5,11.3468,4.5556,2.648,3.7917,18.6694,3.9516,18.4375,0.6445,19.547,8.969,22.9872,12.0625,6.7939,2.6409,1.8531,23.25,10.2222,10.3594,8.75,1990-11-30
1990-12-31,3.156,10.75,6.875,10.25,29.125,17.663,4.5278,18.1563,2.6563,3.7157,16.8889,10.8703,4.6296,2.88,3.5833,19.7884,4.0276,18.3125,0.7656,20.629,9.438,24.9709,12.375,6.7637,2.7697,2.1619,23.625,10.2963,10.8281,9.375,1990-12-31
1991-01-31,3.594,11.25,6.9688,10.9375,30.0,20.3655,4.9167,17.8438,2.8906,4.0508,16.7222,10.8107,5.5556,3.231,4.375,19.8179,4.6102,19.5,0.7969,20.419,9.469,27.4797,14.9375,7.1261,3.4568,2.6473,24.875,9.7037,9.9063,9.9375,1991-01-31
1991-02-28,3.125,12.25,7.375,10.5625,32.0833,23.7437,5.4167,18.8125,3.0938,4.3131,18.2222,12.8061,7.2222,3.611,5.5,20.2596,4.9901,19.75,0.9102,21.291,9.844,28.6465,14.25,7.5488,3.3924,3.0443,25.5,10.2963,10.1563,9.9688,1991-02-28
1991-03-28,4.188,12.8125,7.7813,11.4375,34.4583,23.5506,5.9167,19.375,3.4063,4.3568,17.3333,11.0192,7.2222,4.0,5.7917,20.6718,5.1421,19.625,0.9688,21.291,9.875,28.4715,16.0,8.0319,3.4353,3.1473,29.375,10.9259,10.6406,10.2188,1991-03-28
1991-04-30,4.703,12.1875,7.9375,11.1875,37.7083,22.682,5.4722,19.3125,3.4063,5.1728,17.1667,9.8875,8.3333,4.259,6.8333,21.4374,5.2687,19.1875,1.0352,21.441,9.656,29.3466,15.4375,8.2735,3.6071,3.2797,30.125,10.8889,10.4844,10.0313,1991-04-30
1991-05-31,4.797,12.2188,8.75,11.75,43.5417,24.4193,5.7778,18.4688,3.2656,4.9105,18.6667,10.6916,9.0741,4.88,7.125,22.8215,5.4461,19.875,1.0781,22.915,10.188,32.9639,17.6875,8.3037,4.2727,3.6473,33.375,12.1111,10.6406,10.9688,1991-05-31
1991-06-28,5.234,11.4688,8.0313,11.1875,40.4583,21.4272,5.1806,17.5938,3.4531,5.1291,19.0556,8.6962,8.2222,5.014,7.125,22.4975,5.2434,17.9688,0.9805,22.524,9.813,32.9056,16.75,7.7904,3.8003,3.3826,32.125,11.1852,9.6719,10.1875,1991-06-28
1991-07-31,5.625,11.4063,8.3125,10.25,41.9583,24.4193,4.9444,18.0313,3.6094,5.3622,19.0,9.411,8.4444,5.389,8.5417,22.6742,5.2687,19.0938,1.0703,21.11,9.938,32.4388,18.75,8.3641,4.1439,3.3973,35.625,11.2963,10.0938,10.4688,1991-07-31
1991-08-30,5.313,12.4375,8.3438,9.9375,43.75,25.9636,4.7222,17.9375,3.8125,5.6245,18.3889,9.3216,8.0,5.986,8.8333,22.6742,4.8128,21.0313,1.0742,20.9,10.375,32.4972,20.6875,8.6056,4.1439,3.8091,37.0,11.2222,10.4375,10.4688,1991-08-30
1991-09-30,5.797,12.2813,8.75,9.125,44.0417,27.4114,5.0278,18.375,4.1563,5.5371,19.6667,8.1304,8.6667,6.042,8.4583,21.0841,4.6355,19.9375,1.0508,21.682,10.188,31.7971,21.8125,8.1225,4.1439,4.2503,38.25,10.963,10.6094,9.7188,1991-09-30
1991-10-31,6.516,13.1563,9.2188,9.1875,40.4167,28.087,5.7778,18.6563,3.9219,5.9888,19.6667,8.041,10.6296,6.264,8.25,22.6448,5.0914,19.2188,0.8086,21.892,9.969,35.4727,21.8125,9.0586,4.015,4.368,36.875,11.1481,10.4531,10.3125,1991-10-31
1991-11-29,6.094,12.9688,9.2188,9.625,41.9167,25.1915,5.7917,16.6875,3.7969,5.3914,19.1111,7.1178,10.5185,6.694,7.0417,21.7614,4.8128,18.375,0.8438,20.87,9.281,31.1553,19.875,8.817,3.9721,4.1327,33.625,10.9259,10.125,9.5,1991-11-29
1991-12-31,6.719,13.6875,9.9063,10.5,41.1667,30.4035,6.7778,17.25,3.7188,5.5808,21.6667,6.7902,12.0,7.486,7.1667,23.8816,5.4461,20.9375,1.0625,22.915,10.594,33.0223,22.875,9.6625,4.1653,4.6621,38.875,11.7407,11.7344,11.0938,1991-12-31
1992-01-31,7.266,14.4063,9.0938,10.5,41.1667,32.0443,6.0,15.9063,3.7969,5.5517,20.4444,6.2839,11.7037,6.847,9.375,22.4386,5.6234,19.7188,1.2813,21.892,11.906,33.7224,24.4375,9.0888,4.6806,4.6621,42.0,12.4074,12.9688,10.2188,1992-01-31
1992-02-28,7.359,14.0625,9.0625,9.625,43.25,32.0443,6.0972,15.4063,3.3594,5.6245,20.9444,6.5519,11.5185,7.153,11.2083,24.441,6.4086,18.7188,1.2109,21.892,12.0,34.4808,23.9375,8.6962,5.11,4.971,44.0,12.6667,12.7031,10.5625,1992-02-28
1992-03-31,8.094,14.0313,9.0938,9.0,41.6667,31.0791,5.6528,16.0,4.2813,5.4351,21.2222,5.4798,10.5556,7.208,10.9167,25.03,6.1047,17.75,1.1797,21.351,11.625,34.3642,22.5625,8.7264,4.6592,5.2357,44.75,12.1111,12.7813,10.0313,1992-03-31
1992-04-30,8.172,13.2813,9.0313,9.1875,39.7917,31.3687,5.75,17.4375,4.4219,5.3331,22.0,6.0159,11.4444,6.931,11.7083,26.149,5.7754,17.1875,1.1836,22.554,12.25,34.7726,20.75,9.0284,4.8524,5.3533,43.875,13.1111,12.9063,10.3125,1992-04-30
1992-05-29,8.078,14.3125,8.9688,9.9375,41.5417,29.6313,5.7222,17.8438,4.2031,5.7994,21.6667,6.9093,13.1111,7.847,12.1667,27.0913,5.5474,16.5,1.3711,23.005,11.875,32.9056,18.5625,9.3303,5.1744,5.4416,41.125,12.6667,12.8438,10.1563,1992-05-29
1992-06-30,8.922,15.375,9.3438,9.8125,36.875,29.6313,6.1944,16.75,4.0781,5.7994,21.3333,6.3435,12.5556,7.444,12.375,27.5624,5.5727,16.2813,1.2188,23.336,11.344,32.6139,17.875,8.7264,5.0027,5.1769,37.25,13.5926,11.5,10.5,1992-06-30
